filename,width,height,class,xmin,ymin,xmax,ymax
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,top,164,142,190,186
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,top,197,141,220,179
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,top,233,144,255,178
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,top,266,143,292,180
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,top,300,142,322,175
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,top,334,139,360,187
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,bottom,171,391,202,440
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,bottom,201,353,229,400
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,bottom,235,350,263,392
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,bottom,265,364,293,409
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,bottom,299,334,326,373
22_18_17_19_16_24_L_L_L_L_L_L_11_0_5009.png,512,512,bottom,322,405,354,458
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,top,113,20,156,65
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,top,177,21,213,65
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,top,233,12,282,70
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,top,305,11,345,62
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,top,368,1,415,55
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,top,427,1,482,64
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,bottom,116,323,167,385
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,bottom,184,292,226,350
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,bottom,224,394,293,484
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,bottom,300,313,349,374
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,bottom,363,341,420,417
18_16_22_17_19_24_L_L_H_H_H_L_0769_0_5149.png,512,512,bottom,416,407,482,486
17_16_18_22_24_19_L_L_L_L_H_L_0598_0_8168.png,512,512,top,132,64,162,105
17_16_18_22_24_19_L_L_L_L_H_L_0598_0_8168.png,512,512,top,179,64,209,103
17_16_18_22_24_19_L_L_L_L_H_L_0598_0_8168.png,512,512,top,225,60,261,105
17_16_18_22_24_19_L_L_L_L_H_L_0598_0_8168.png,512,512,top,275,53,314,109
17_16_18_22_24_19_L_L_L_L_H_L_0598_0_8168.png,512,512,top,330,52,373,109
17_16_18_22_24_19_L_L_L_L_H_L_0598_0_8168.png,512,512,top,387,48,425,97
17_16_18_22_24_19_L_L_L_L_H_L_0598_0_8168.png,512,512,bottom,146,288,180,336
